Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-450294,"MAP kinase activation",23,63,0.0052905609674168625,1.1102230246251565E-16,3.219646771412954E-15,30,32,0.002138751503809651,9606,Homo sapiens,"O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-198669;R-HSA-5684248;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-450257;R-HSA-198746;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-450337;R-HSA-5684273;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-6804756,"Regulation of TP53 Activity through Phosphorylation",21,92,0.007725898555592879,1.1102230246251565E-16,3.219646771412954E-15,23,26,0.0017377355968453416,9606,Homo sapiens,"Q16539;O96017;Q15831;Q8IW41;Q15759;Q13315;Q13535;Q86Z02;P19784;Q9H2X6;P54646;P68400;Q00535;O60285;P24941;Q92630;Q9H4B4;Q96GD4;Q13131;O14757;O14965","Q16539;O96017;Q15831;Q8IW41;Q15759;Q13315;Q13535;Q86Z02;P19784;Q9H2X6;P54646;P68400;Q00535;O60285;P24941;Q92630;Q9H4B4;Q96GD4;Q13131;O14757;O14965","R-HSA-6799431;R-HSA-6798374;R-HSA-6805126;R-HSA-6805061;R-HSA-6798373;R-HSA-3215251;R-HSA-6805285;R-HSA-6798372;R-HSA-6799332;R-HSA-6805059;R-HSA-6805122;R-HSA-3222006;R-HSA-6805103;R-HSA-6799246;R-HSA-6805035;R-HSA-6805109;R-HSA-69685;R-HSA-3222020;R-HSA-6799409;R-HSA-3239014;R-HSA-6805470;R-HSA-6805276;R-HSA-5693609"
R-HSA-448424,"Interleukin-17 signaling",23,72,0.006046355391333557,1.1102230246251565E-16,3.219646771412954E-15,30,35,0.0023392594572918058,9606,Homo sapiens,"O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-198669;R-HSA-5684248;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-450257;R-HSA-198746;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-450337;R-HSA-5684273;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-166058,"MyD88:MAL(TIRAP) cascade initiated on plasma membrane",25,115,0.009657373194491099,1.1102230246251565E-16,3.219646771412954E-15,61,76,0.005079534821547921,9606,Homo sapiens,"O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","R-HSA-166286;R-HSA-198669;R-HSA-166284;R-HSA-936960;R-HSA-2559414;R-HSA-936991;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-937022;R-HSA-451634;R-HSA-9750946;R-HSA-166072;R-HSA-166082;R-HSA-937034;R-HSA-937032;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-166091;R-HSA-168136;R-HSA-2201322;R-HSA-9749471;R-HSA-5684250;R-HSA-5684248;R-HSA-199895;R-HSA-9761344;R-HSA-937050;R-HSA-2262775;R-HSA-450257;R-HSA-166362;R-HSA-198746;R-HSA-166363;R-HSA-937044;R-HSA-2262777;R-HSA-168162;R-HSA-9749494;R-HSA-166119;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-5684273;R-HSA-937059;R-HSA-199917;R-HSA-5684261;R-HSA-168053;R-HSA-937079;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-975138,"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",23,102,0.00856567013772254,1.1102230246251565E-16,3.219646771412954E-15,47,60,0.004010159069643096,9606,Homo sapiens,"O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","R-HSA-975119;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-9749471;R-HSA-5684250;R-HSA-198669;R-HSA-5684248;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-9761344;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-450257;R-HSA-9758604;R-HSA-198746;R-HSA-450333;R-HSA-975122;R-HSA-168162;R-HSA-9749494;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-450337;R-HSA-5684273;R-HSA-450222;R-HSA-975142;R-HSA-450348;R-HSA-450346;R-HSA-975139;R-HSA-199917;R-HSA-975103;R-HSA-975100;R-HSA-5684261;R-HSA-451634;R-HSA-9750946;R-HSA-168053;R-HSA-975097;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-168188,"Toll Like Receptor TLR6:TLR2 Cascade",25,115,0.009657373194491099,1.1102230246251565E-16,3.219646771412954E-15,61,78,0.005213206790536024,9606,Homo sapiens,"O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","R-HSA-166286;R-HSA-198669;R-HSA-166284;R-HSA-936960;R-HSA-2559414;R-HSA-936991;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-937022;R-HSA-451634;R-HSA-9750946;R-HSA-166072;R-HSA-166082;R-HSA-937034;R-HSA-937032;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-166091;R-HSA-168136;R-HSA-2201322;R-HSA-9749471;R-HSA-5684250;R-HSA-5684248;R-HSA-199895;R-HSA-9761344;R-HSA-937050;R-HSA-2262775;R-HSA-450257;R-HSA-166362;R-HSA-198746;R-HSA-166363;R-HSA-937044;R-HSA-2262777;R-HSA-168162;R-HSA-9749494;R-HSA-166119;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-5684273;R-HSA-937059;R-HSA-199917;R-HSA-5684261;R-HSA-168053;R-HSA-937079;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-168179,"Toll Like Receptor TLR1:TLR2 Cascade",25,118,0.009909304669129997,1.1102230246251565E-16,3.219646771412954E-15,61,78,0.005213206790536024,9606,Homo sapiens,"O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","R-HSA-166286;R-HSA-198669;R-HSA-166284;R-HSA-936960;R-HSA-2559414;R-HSA-936991;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-937022;R-HSA-451634;R-HSA-9750946;R-HSA-166072;R-HSA-166082;R-HSA-937034;R-HSA-937032;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-166091;R-HSA-168136;R-HSA-2201322;R-HSA-9749471;R-HSA-5684250;R-HSA-5684248;R-HSA-199895;R-HSA-9761344;R-HSA-937050;R-HSA-2262775;R-HSA-450257;R-HSA-166362;R-HSA-198746;R-HSA-166363;R-HSA-937044;R-HSA-2262777;R-HSA-168162;R-HSA-9749494;R-HSA-166119;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-5684273;R-HSA-937059;R-HSA-199917;R-HSA-5684261;R-HSA-168053;R-HSA-937079;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-181438,"Toll Like Receptor 2 (TLR2) Cascade",25,118,0.009909304669129997,1.1102230246251565E-16,3.219646771412954E-15,61,80,0.005346878759524128,9606,Homo sapiens,"O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","O43353;Q15418;Q15759;P28482;O75582;O43318;Q06187;P41279;P49137;O14920;Q13164;P52564;Q15349;Q16539;O15111;P27361;P51812;Q02750;P53779;Q9Y616;P51617;P45983;P45985;O14733;P45984","R-HSA-166286;R-HSA-198669;R-HSA-166284;R-HSA-936960;R-HSA-2559414;R-HSA-936991;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-937022;R-HSA-451634;R-HSA-9750946;R-HSA-166072;R-HSA-166082;R-HSA-937034;R-HSA-937032;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-166091;R-HSA-168136;R-HSA-2201322;R-HSA-9749471;R-HSA-5684250;R-HSA-5684248;R-HSA-199895;R-HSA-9761344;R-HSA-937050;R-HSA-2262775;R-HSA-450257;R-HSA-166362;R-HSA-198746;R-HSA-166363;R-HSA-937044;R-HSA-2262777;R-HSA-168162;R-HSA-9749494;R-HSA-166119;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-5684273;R-HSA-937059;R-HSA-199917;R-HSA-5684261;R-HSA-168053;R-HSA-937079;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",23,98,0.008229761504870675,1.1102230246251565E-16,3.219646771412954E-15,52,70,0.0046785189145836115,9606,Homo sapiens,"O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","R-HSA-975878;R-HSA-975879;R-HSA-975874;R-HSA-198669;R-HSA-936960;R-HSA-936991;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-451634;R-HSA-9750946;R-HSA-937034;R-HSA-937032;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-9749471;R-HSA-5684250;R-HSA-5684248;R-HSA-199895;R-HSA-9761344;R-HSA-937050;R-HSA-450257;R-HSA-198746;R-HSA-937044;R-HSA-168162;R-HSA-9749494;R-HSA-975852;R-HSA-975853;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-5684273;R-HSA-199917;R-HSA-5684261;R-HSA-168053;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-9773803;R-HSA-975857"
R-HSA-975155,"MyD88 dependent cascade initiated on endosome",23,103,0.008649647295935505,1.1102230246251565E-16,3.219646771412954E-15,55,75,0.00501269883705387,9606,Homo sapiens,"O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","O43353;P52564;Q15349;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P41279;P51617;P45983;P49137;O14920;P45985;O14733;P45984;Q13164","R-HSA-975118;R-HSA-975119;R-HSA-975115;R-HSA-975111;R-HSA-975106;R-HSA-198669;R-HSA-975134;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-975125;R-HSA-975122;R-HSA-450337;R-HSA-450222;R-HSA-975142;R-HSA-450348;R-HSA-450346;R-HSA-975139;R-HSA-451634;R-HSA-9750946;R-HSA-975180;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-9749471;R-HSA-5684250;R-HSA-5684248;R-HSA-199895;R-HSA-9761344;R-HSA-450257;R-HSA-198746;R-HSA-975188;R-HSA-168162;R-HSA-9749494;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-5684273;R-HSA-199917;R-HSA-975103;R-HSA-975100;R-HSA-5684261;R-HSA-168053;R-HSA-975097;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
