Rank	Protein	Overlapping Proteins	FET p-value	FDR	Odds Ratio
1	PRKACA	MYLK,LIPE,APPL1,FLNA,SRSF2,PFKFB2,PIN1,LRRK2,DNM1L,KSR1,LCP1,LRP1,SRSF1,FYN,KCNJ2,IMMT,RRAD,AKAP12,CAMKK1,RAF1,NDRG1,MSN,SUN2,CAD,YWHAZ,PLEC,POLD3,ARFGEF1,VIM,RB1,STMN1,NEDD4L,NFATC1,CDK16,MYOM2,NCOR1,DMTN,HSPA1B,CUL5,TPPP,DNAJC5,TTN,PTPN11,PTPN12,AQP4,MAP2,SPTBN1,VASP,DTNB,PDE3A,RYR2,MAPT,CTNNB1,CHCHD3,MARK3,HSPB8,PDE3B,HSPB1,PDE4D,CTPS1,PPP2R5D,RGS18,ATP1A1,USP20,DES	4.41e-18	7.19e-16	4.142
2	MAPK3	MYLK,CREBBP,BAZ1B,EIF4EBP1,MBP,DNM1L,NCOA1,NCOA2,GAB2,CANX,ARHGEF2,NR3C1,RAF1,CALD1,NUP153,CAD,GORASP2,STMN1,NUP214,MED1,NFATC1,BRAF,CIC,IRS1,GTF2I,MITF,LAT,EIF4G1,WASF2,PTPN12,PML,KRT8,RUNX1,MAPT,LIMA1,PXN,HSPB8,PDE4D,PALLD,MCRIP1,MAPK3	2.36e-14	1.93e-12	5.04
3	AKT1	AKT1,AGAP2,CREBBP,FLNA,RICTOR,FLNC,PFKFB2,HNRNPA1,PDCD4,PTK2,WNK1,BABAM1,CCT2,GAB2,NR3C1,VCP,NDRG2,YWHAZ,TBC1D1,TBC1D4,EYA1,ACIN1,VIM,NHEJ1,BRAF,NCOR1,IRS1,MAP2K4,MITF,ILF3,RNF11,PKM,CARHSP1,SRPK2,CCDC88A,PACS2,LMNA,RANBP3,CTNNB1,HSPB1,PALLD,AKT1S1,PIKFYVE	5.04e-13	2.35e-11	4.298
4	MAPK1	MYLK,CREBBP,NOX5,NCF2,MAPKAPK2,EIF4EBP1,MBP,DNM1L,NCOA1,NCOA2,GAB1,GAB2,ARHGEF2,CALD1,NUP153,TCF3,CAD,GORASP2,NUP214,MED1,BRAF,PRDX6,CIC,IRS1,GTF2I,MITF,STIM1,TPPP,EIF4G1,PKM,WASF2,PTPN12,PML,RPS6KA3,RUNX1,CCDC88A,MAPT,SORBS3,PXN,DLG2,PDE4D,PALLD,MCRIP1,MAPK1	5.77e-13	2.35e-11	4.187
5	PRKCA	F11R,AKT1,IQGAP1,NOX5,TUBA1C,JPH2,APPL1,KCNMA1,GSTP1,NCF4,SPN,MET,LRP1,RRAD,TAGLN,PEBP1,RAF1,ILK,ADD1,ADD2,VIM,PRKCE,PRKD2,PA2G4,ANXA2,NCOR1,CTNND1,IGFBP1,THOC5,NF1,EIF4G1,PRKG1,TTN,PTPN11,PTPN12,AQP4,AQP1,VASP,DTNB,PDE3A,MAPT,ATP5F1C,C5AR1,PPP2R5A,CTPS1,MYH9	1.22e-12	3.99e-11	3.92
6	SRC	ARAF,MYLK,FERMT2,KCNB1,STAT3,ATXN2L,FHL1,GAPDH,SLC25A4,LRP1,PTK2,SDC1,GIT1,GAB1,FHOD1,RAF1,DAPP1,PDHA1,CAV2,PTK2B,PRKCD,PRKD2,LDHA,CLTC,ANXA2,BCLAF1,GSN,CDH2,GTF2I,ABL1,FIP1L1,RPS6KA3,TNS3,CCDC88A,CORO7,MAPT,AKAP8,PPP2CA,CTNNB1,PXN,LPP,HK1,FLOT1,MYH9,ATP1A1	5.45e-11	1.48e-9	3.492
7	CDK2	PRKAR1A,GIGYF2,LARP1,KMT2D,IREB2,EEF2,NUMA1,DNM1L,SUPT6H,TOR1AIP1,CALD1,UBE2O,TCF3,LMNB2,GORASP2,ADD3,RALY,RB1,STMN1,MED1,PRRC2A,CDK16,TNKS1BP1,RPL12,BCLAF1,SF3B1,EIF4G1,MCM3,FZR1,SPAG9,PTPN12,PML,APC,ZNF609,RUNX1,MACF1,CC2D1A,HNRNPH1,SORBS3,NUCKS1,KDM2A,ARID1A,RBL2	6.37e-11	1.48e-9	3.599
8	CHEK1	MYBBP1A,ZC3HC1,SCAF11,MYCBP2,SLTM,ARHGEF2,PPME1,NUP153,TBC1D4,NCBP3,ADD3,ADD1,ADD2,RALY,BUD13,RB1,MED1,PRRC2C,HNRNPM,CDK13,CEP170B,MCM3,SRRM2,MAP4,TP53BP1,MAPT,LMNA,HDLBP,LMO7,MATR3,YBX3,PPP2R5D,SPEN	1.94e-10	3.95e-9	4.325
9	CDK1	GIGYF2,TCOF1,FLNA,IREB2,GMPS,EIF4EBP1,ZC3HC1,NUMA1,DNM1L,DUT,EPB41,AKAP12,CANX,UBXN2B,PDS5B,EEF2K,EPN1,ADD1,VIM,RB1,STMN1,LDHA,PRDX1,AHNAK,IRS2,STIM1,EIF4G1,EFHD2,PML,SRRM2,KRT8,RUNX1,CARHSP1,MAP4,TP53BP1,TOP2B,RSF1,XPO1,MAPT,LMNA,NUCKS1,TSC1,PALLD,REPS2,MAPK3,NIFK	4.74e-9	8.59e-8	2.918
10	MTOR	AKT1,LARP1,EIF4EBP1,ULK1,WNK1,WASHC2A,EEF2K,BRD9,MAF1,UBR4,PATL1,SRRM2,SRRM1,RPRD1B,OXSR1,AKT1S1	8.42e-9	1.37e-7	8.232
