KINASE	P_VALUE	CHI2_P_VALUE	UPID	FOUND	SUB#	ADJ_P_VALUE	HITS
PKM	8.589747717339896e-14	4.909579184548027e-49	P14618	9	9	1.073718464667487e-11	P40763-Y705, Q96B36-S202, Q96B36-S202(i), Q96B36-S203, Q96B36-S203(i), Q96B36-S211(i), Q96B36-S212(i)
p70S6K	4.947549813646422e-12	1.051155123016491e-25	P23443	17	56	3.092218633529014e-10	P23588-S422, P27708-S1859, P62753-S236, P62753-S236(i), P62753-S240, P62753-S240(i), P78362-S494, P78371-S260, Q9UN36-S332, Q9UN36-S338(i), Q9UN36-S344(i), Q9UN36-S350, Q9UN36-S352(i)
mTOR	4.45542505537125e-09	3.748309954082893e-14	P42345	22	140	1.8564271064046874e-07	O00418-S72, O00418-S72(i), O00418-S74, O00418-S74(i), P62753-S236, P62753-S236(i), P62753-S240(i), Q02156-T710, Q13541-S65, Q13541-T70, Q6PKG0-S766, Q6PKG0-S766(i), Q6PKG0-S774, Q6PKG0-S774(i), Q96B36-S212(i), Q96F24-S120, Q96F24-S120(i), Q9H063-S75, Q9H063-S75(i), Q9HB90-T394, Q9HBH9-S74
p90RSK	6.48406077658474e-09	1.096043133106157e-15	Q15418	16	75	2.0262689926827313e-07	O60343-S341, P21333-S2152, P23588-S422, P23588-S422(i), P62753-S236, P62753-S236(i), P62753-S240(i), P78371-S260, Q96D71-S709, Q9H6Z4-S126, Q9UN36-S332, Q9UN36-S338(i), Q9UN36-S344(i), Q9UN36-S350, Q9UN36-S352(i)
MEK1	2.1116213627899885e-07	2.470527445165467e-16	Q02750	8	20	5.279053406974971e-06	P27361-T202, P27361-T202(i), P27361-T207, P27361-T207(i), P27361-Y204, P27361-Y204(i), P28482-T185, P28482-Y187
SGK1	3.2009441703310584e-07	1.8330190748296166e-12	O00141	12	54	6.668633688189705e-06	O60343-S341, P45985-S80, Q92597-T328, Q96PU5-S448, Q9UN36-S332, Q9UN36-S338(i), Q9UN36-S344(i), Q9UN36-S350(i), Q9UN36-S352(i), Q9UN36-T330, Q9UN36-T348
PDHK3	1.5890021973543225e-06	1.293183856714365e-19	Q15120	4	4	2.8375039238470046e-05	P08559-S293, P08559-S293(i), P08559-S300, P08559-S300(i)
PDHK4	7.72041078747946e-06	1.0687188610538621e-15	Q16654	4	5	0.00010722792760388141	P08559-S293, P08559-S293(i), P08559-S300, P08559-S300(i)
PDHK2	7.72041078747946e-06	1.0687188610538621e-15	Q15119	4	5	0.00010722792760388141	P08559-S293, P08559-S293(i), P08559-S300, P08559-S300(i)
PDHK1	2.2507235643003858e-05	4.426643680438836e-13	Q15118	4	6	0.00028134044553754825	P08559-S293, P08559-S293(i), P08559-S300, P08559-S300(i)
MEK2	4.488228799874871e-05	8.835579532095473e-14	P36507	3	3	0.0005100259999857808	P27361-T202, P27361-T207(i), P27361-Y204
EEF2K	5.6961695132408096e-05	1.4916939725477824e-09	O00418	5	13	0.0005933509909625843	O00418-S470(i), O00418-S474, O00418-S72(i), O00418-S74(i), P40763-Y705
ROCK2	0.00015400462906662522	3.0297279207151206e-07	O75116	6	24	0.0014808137410252426	O14974-T696, O75116-S1374, O75116-S1374(i), P10916-S15, P10916-S19(i)
P70S6KB	0.00017352874986747548	1.0568503712656748e-08	Q9UBS0	4	9	0.0015493638381024596	P09651-S4, P09651-S4(i), P09651-S6, P09651-S6(i)
P38B	0.0001966552675856684	1.600151685860489e-06	Q15759	7	35	0.0016387938965472366	P13807-S641(i), P13807-S645, P13807-S645(i), P13807-S649(i), P13807-S653, P13807-S653(i)
Akt1	0.0009115399290851892	0.0005711512817383275	P31749	26	374	0.00712140569597804	O60343-S341, O60825-S466, P02545-S404, P02545-S414(i), P04150-S134, P14618-S97, P21333-S2152, P35222-S552, P45985-S80, P53602-S96, P55072-S748, P55072-S748(i), P62753-S236, P62753-S240(i), P63104-S64(i), P78371-S260, Q14315-S2233, Q14315-S2236(i), Q96B36-T246, Q9BZQ8-S602, Q9H6Z4-S126, Q9NVE7-T406, Q9NWV8-S29, Q9UN36-S332, Q9UN36-S338(i), Q9UN36-T348
CDK13	0.002198037888931633	2.3615599533234435e-05	Q14004	3	8	0.01616204330096789	P23588-S422, Q13541-S65, Q13541-T70
PKCD	0.003386900396771825	0.0019645468532364404	Q05655	12	136	0.023520141644248788	P08581-S990(i), P21730-S327(i), P35568-S574, P35568-S581(i), P62753-S236, P62753-S236(i), P62753-S240(i), Q05655-S304, Q05655-S304(i), Q9UQ80-S361(i)
MKK6	0.00446566643170032	0.00025220196564037974	P52564	3	10	0.029379384419081053	P53778-T183, P53778-Y185, Q16539-Y182
Ret	0.005099017721345593	0.0013293069924203114	P07949	5	32	0.03186886075840995	P27361-T202, P27361-T207(i), P27361-Y204, P28482-Y187, Q16539-Y182
PDK1	0.007533170193939125	0.0029614714421811474	O15530	5	35	0.04484029877344717	P08559-S293, P08559-S300(i), P31749-T308, P31751-T309, Q9Y243-T305
YSK1	0.0117792497089823	0.0014176711106928946	O00506	2	5	0.06401766146186033	P10644-S83, P10644-S83(i)
smMLCK	0.0117792497089823	0.0014176711106928946	Q15746	2	5	0.06401766146186033	P10916-S15, P10916-S19(i)
RSK2	0.015460027509398037	0.012932358629025429	P51812	6	57	0.08052097661144811	P51812-S386, P62753-S236, P62753-S236(i), P62753-S240(i), Q9H6Z4-S126
SMG1	0.01725480343396885	0.0045877384740316985	Q96Q15	2	6	0.08627401716984424	Q92900-S1107, Q92900-S1110(i)
SRPK1	0.028443193703259612	0.023877565664201395	Q96SB4	3	19	0.13674612357336352	Q07955-S199(i)
PHKA1	0.03560500695410292	0.012202881433603105	P46020	1	1	0.1589509239022452	P11216-S15
ERK4	0.03560500695410292	0.012202881433603105	P31152	1	1	0.1589509239022452	P31749-T308
AMPKG2	0.03858476181019565	0.03379488856207665	Q9UGJ0	2	9	0.16076984087581522	P08559-S293(i), P08559-S300(i)
AMPKB1	0.03858476181019565	0.03379488856207665	Q9Y478	2	9	0.16076984087581522	P08559-S293(i), P08559-S300(i)
GSK3B	0.049700921004605894	0.08697338153426816	P49841	20	377	0.20040693953470118	P13807-S641, P13807-S641(i), P13807-S645, P13807-S645(i), P13807-S649(i), P13807-S653, P17275-T255, P17661-S28, P17661-S28(i), P17661-S32, P17661-S32(i), P17812-S574(i), P17812-S575(i), Q13541-S65, Q13541-T70, Q15746-S1776, Q15746-S1779(i), Q9UKT5-S12
Mer	0.05625569899561328	0.07121488489201867	Q12866	2	11	0.21974882420161437	P31749-T308, P40763-Y705
GRK6	0.06595408587111386	0.09455027437937245	P43250	2	12	0.2318524127232573	P43250-S484, P43250-T485
PAK1	0.06855458144125529	0.11571111682213159	Q13153	6	81	0.2318524127232573	P21333-S2152, P35222-S552, P35222-S675, Q13153-S144, Q15746-S1776(i), Q15746-S1779(i)
Tyro3	0.06994468540458622	0.10176586216854537	Q06418	1	2	0.2318524127232573	P31749-T308
Ret iso3	0.06994468540458622	0.10176586216854537	Q15300	1	2	0.2318524127232573	P40763-Y705
PKN3	0.06994468540458622	0.10176586216854537	Q6P5Z2	1	2	0.2318524127232573	P30622-S306(i)
JAK2	0.07048313346787022	0.11517886424888604	O60674	4	44	0.2318524127232573	P08559-Y301, P27361-Y204, P28482-Y187, P40763-Y705
PKACA	0.08896431068853136	0.17073191318686737	P17612	29	626	0.28514202143760053	O60825-S466, O75376-S70, P06241-S26(i), P08833-S194, P08833-S194(i), P10412-S36, P16949-S63, P21333-S2152, P27708-S1859, P35222-S552, P35222-S675, P55087-S285(i), P63104-S64(i), Q00536-S153, Q01082-T2159, Q02952-S780(i), Q07954-S4520, Q13370-S323(i), Q15746-S1776(i), Q15746-S1779(i), Q5S007-S910, Q96PU5-S448, Q9H2G2-S189, Q9H3Z4-S10, Q9UH99-S110(i), Q9UH99-S116, Q9UKG1-S401(i), Q9Y2K2-S626, Q9Y478-S24
DYRK3	0.10306391763944865	0.22050880276273419	O43781	1	3	0.2996044117425833	Q96B36-T246
PKM iso2	0.10306391763944865	0.22050880276273419	P14618-2	1	3	0.2996044117425833	P40763-Y705
MEKK2	0.10306391763944865	0.22050880276273419	Q9Y2U5	1	3	0.2996044117425833	P35222-S675
Lmr2	0.10306391763944865	0.22050880276273419	Q8IWU2	1	3	0.2996044117425833	P11216-S15
ROCK1	0.10842645981614661	0.2054654699495837	Q13464	5	71	0.30802971538678015	O14974-T696, P17661-S57(i), P17661-S60, P17661-S68(i), Q8N264-S391
GSK3A	0.12341728473092259	0.24073545394074147	P49840	5	74	0.34282579091922943	P17661-S28, P17661-S28(i), P17661-S32, P17661-S32(i), P31749-T308(i)
AXL	0.13318125875718284	0.27419350798614817	P30530	2	18	0.3444030534298254	P31749-T308, P40763-Y705
SRPK2	0.13500599694449156	0.33455229372146666	P78362	1	4	0.3444030534298254	P78362-S494
HIPK1	0.13500599694449156	0.33455229372146666	Q86Z02	1	4	0.3444030534298254	O60829-T51
CDK16	0.13500599694449156	0.33455229372146666	Q00536	1	4	0.3444030534298254	P10644-S83
MAPKAPK2	0.14479939232288566	0.2911636550148996	P49137	5	78	0.3549004713796217	P04792-S15, P18615-S51, P33241-S252, P51812-S386, P63104-S64(i)
Akt2	0.14479939232288566	0.2911636550148996	P31751	5	78	0.3549004713796217	P02545-S404, P02545-S414(i), P35222-S552, Q14315-S2233, Q14315-S2236(i)
SLK	0.16581268375336886	0.43704414313369966	Q9H2G2	1	5	0.3768470085303838	Q9H2G2-S189
MEKK6	0.16581268375336886	0.43704414313369966	O95382	1	5	0.3768470085303838	Q16539-Y182
