Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6804756,"Regulation of TP53 Activity through Phosphorylation",20,92,0.007725898555592879,1.1102230246251565E-16,5.773159728050814E-15,22,26,0.0017377355968453416,9606,Homo sapiens,"Q16539;O96017;Q15831;Q8IW41;Q15759;Q13315;Q13535;P19784;Q9H2X6;P54646;P68400;Q00535;O60285;P24941;Q92630;Q9H4B4;Q96GD4;Q13131;O14757;O14965","Q16539;O96017;Q15831;Q8IW41;Q15759;Q13315;Q13535;P19784;Q9H2X6;P54646;P68400;Q00535;O60285;P24941;Q92630;Q9H4B4;Q96GD4;Q13131;O14757;O14965","R-HSA-6805126;R-HSA-6798374;R-HSA-6805061;R-HSA-6798373;R-HSA-3215251;R-HSA-6805285;R-HSA-6798372;R-HSA-6799332;R-HSA-6805059;R-HSA-6805122;R-HSA-3222006;R-HSA-6805103;R-HSA-6799246;R-HSA-6805035;R-HSA-6805109;R-HSA-69685;R-HSA-3222020;R-HSA-6799409;R-HSA-3239014;R-HSA-6805470;R-HSA-6805276;R-HSA-5693609"
R-HSA-450294,"MAP kinase activation",18,63,0.0052905609674168625,1.1102230246251565E-16,5.773159728050814E-15,25,32,0.002138751503809651,9606,Homo sapiens,"P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P45983;P49137;O14920;P45985;P45984;Q13164","P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P45983;P49137;O14920;P45985;P45984;Q13164","R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-198669;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-450257;R-HSA-198746;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-199917;R-HSA-168053;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-448424,"Interleukin-17 signaling",18,72,0.006046355391333557,1.1102230246251565E-16,5.773159728050814E-15,25,35,0.0023392594572918058,9606,Homo sapiens,"P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P45983;P49137;O14920;P45985;P45984;Q13164","P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q02750;O75582;P53779;O43318;P45983;P49137;O14920;P45985;P45984;Q13164","R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-198669;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-450257;R-HSA-198746;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-199917;R-HSA-168053;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-4420097,"VEGFA-VEGFR2 Pathway",22,100,0.008397715821296607,1.1102230246251565E-16,5.773159728050814E-15,52,79,0.005280042775030076,9606,Homo sapiens,"Q16539;Q15759;P31749;O15264;O75116;P12931;P31751;P53778;P30530;Q05397;P42345;P17612;Q05513;Q05655;P17252;P06241;P49137;Q14289;Q13464;Q13177;P05771;Q13153","Q16539;Q15759;P31749;O15264;O75116;P31751;P53778;P30530;Q05397;P42345;P17612;Q05513;Q05655;P12931-1;P17252;P06241;P49137;Q14289;Q13464;Q13177;P05771;Q13153","R-HSA-202127;R-HSA-5228992;R-HSA-202137;R-HSA-5218645;R-HSA-5218643;R-HSA-5218642;R-HSA-5218640;R-HSA-2317314;R-HSA-5357429;R-HSA-5357432;R-HSA-187688;R-HSA-5218916;R-HSA-4420206;R-HSA-1497784;R-HSA-4420083;R-HSA-5218814;R-HSA-5218813;R-HSA-5218812;R-HSA-5218811;R-HSA-5218809;R-HSA-5218806;R-HSA-5218805;R-HSA-5218804;R-HSA-5218830;R-HSA-5218828;R-HSA-5218826;R-HSA-5218824;R-HSA-5218823;R-HSA-5218822;R-HSA-5218821;R-HSA-5218820;R-HSA-5218819;R-HSA-5218847;R-HSA-5357445;R-HSA-5218839;R-HSA-5218838;R-HSA-4420121;R-HSA-5218836;R-HSA-5218832;R-HSA-4420128;R-HSA-5218855;R-HSA-5218854;R-HSA-5218851;R-HSA-4420140;R-HSA-5357472;R-HSA-198640;R-HSA-5357477;R-HSA-5357479;R-HSA-5357483;R-HSA-202111;R-HSA-3928647;R-HSA-198270"
R-HSA-937061,"TRIF (TICAM1)-mediated TLR4 signaling ",20,110,0.009237487403426269,1.1102230246251565E-16,5.773159728050814E-15,48,76,0.005079534821547921,9606,Homo sapiens,"P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q9UHD2;Q02750;O75582;P53779;O43318;Q14164;P45983;P49137;O14920;P45985;P45984;Q13164","P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q9UHD2;Q02750;O75582;P53779;O43318;Q14164;P45983;P49137;O14920;P45985;P45984;Q13164","R-HSA-198669;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-9823932;R-HSA-450348;R-HSA-9823934;R-HSA-450346;R-HSA-9823910;R-HSA-9823904;R-HSA-9750946;R-HSA-9823906;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-9749471;R-HSA-937029;R-HSA-199895;R-HSA-9761344;R-HSA-9823939;R-HSA-450257;R-HSA-198746;R-HSA-168162;R-HSA-9749494;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-166245;R-HSA-9824882;R-HSA-199917;R-HSA-168053;R-HSA-936951;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-937075;R-HSA-936947;R-HSA-166271;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-166166,"MyD88-independent TLR4 cascade ",20,110,0.009237487403426269,1.1102230246251565E-16,5.773159728050814E-15,48,78,0.005213206790536024,9606,Homo sapiens,"P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q9UHD2;Q02750;O75582;P53779;O43318;Q14164;P45983;P49137;O14920;P45985;P45984;Q13164","P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q9UHD2;Q02750;O75582;P53779;O43318;Q14164;P45983;P49137;O14920;P45985;P45984;Q13164","R-HSA-198669;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-9823932;R-HSA-450348;R-HSA-9823934;R-HSA-450346;R-HSA-9823910;R-HSA-9823904;R-HSA-9750946;R-HSA-9823906;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-9749471;R-HSA-937029;R-HSA-199895;R-HSA-9761344;R-HSA-9823939;R-HSA-450257;R-HSA-198746;R-HSA-168162;R-HSA-9749494;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-166245;R-HSA-9824882;R-HSA-199917;R-HSA-168053;R-HSA-936951;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-937075;R-HSA-936947;R-HSA-166271;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-168164,"Toll Like Receptor 3 (TLR3) Cascade",20,106,0.008901578770574403,1.1102230246251565E-16,5.773159728050814E-15,48,79,0.005280042775030076,9606,Homo sapiens,"P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q9UHD2;Q02750;O75582;P53779;O43318;Q14164;P45983;P49137;O14920;P45985;P45984;Q13164","P52564;Q16539;O15111;Q15418;Q15759;P28482;P27361;P51812;Q9UHD2;Q02750;O75582;P53779;O43318;Q14164;P45983;P49137;O14920;P45985;P45984;Q13164","R-HSA-198669;R-HSA-450325;R-HSA-199959;R-HSA-5609665;R-HSA-9749505;R-HSA-203797;R-HSA-9758604;R-HSA-177690;R-HSA-450333;R-HSA-177692;R-HSA-9830710;R-HSA-9830706;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-9750946;R-HSA-9750226;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-9749471;R-HSA-9014343;R-HSA-847070;R-HSA-9013979;R-HSA-9013978;R-HSA-199895;R-HSA-9761344;R-HSA-450257;R-HSA-198746;R-HSA-168162;R-HSA-9749494;R-HSA-9828209;R-HSA-5684275;R-HSA-199910;R-HSA-198756;R-HSA-199917;R-HSA-9828196;R-HSA-168053;R-HSA-9828205;R-HSA-9828204;R-HSA-168184;R-HSA-199929;R-HSA-199935;R-HSA-9828200;R-HSA-5684267;R-HSA-450296;R-HSA-9773803"
R-HSA-194138,"Signaling by VEGF",22,110,0.009237487403426269,1.1102230246251565E-16,5.773159728050814E-15,52,86,0.005747894666488437,9606,Homo sapiens,"Q16539;Q15759;P31749;O15264;O75116;P12931;P31751;P53778;P30530;Q05397;P42345;P17612;Q05513;Q05655;P17252;P06241;P49137;Q14289;Q13464;Q13177;P05771;Q13153","Q16539;Q15759;P31749;O15264;O75116;P31751;P53778;P30530;Q05397;P42345;P17612;Q05513;Q05655;P12931-1;P17252;P06241;P49137;Q14289;Q13464;Q13177;P05771;Q13153","R-HSA-202127;R-HSA-5228992;R-HSA-202137;R-HSA-5218645;R-HSA-5218643;R-HSA-5218642;R-HSA-5218640;R-HSA-2317314;R-HSA-5357429;R-HSA-5357432;R-HSA-187688;R-HSA-5218916;R-HSA-4420206;R-HSA-1497784;R-HSA-4420083;R-HSA-5218814;R-HSA-5218813;R-HSA-5218812;R-HSA-5218811;R-HSA-5218809;R-HSA-5218806;R-HSA-5218805;R-HSA-5218804;R-HSA-5218830;R-HSA-5218828;R-HSA-5218826;R-HSA-5218824;R-HSA-5218823;R-HSA-5218822;R-HSA-5218821;R-HSA-5218820;R-HSA-5218819;R-HSA-5218847;R-HSA-5357445;R-HSA-5218839;R-HSA-5218838;R-HSA-4420121;R-HSA-5218836;R-HSA-5218832;R-HSA-4420128;R-HSA-5218855;R-HSA-5218854;R-HSA-5218851;R-HSA-4420140;R-HSA-5357472;R-HSA-198640;R-HSA-5357477;R-HSA-5357479;R-HSA-5357483;R-HSA-202111;R-HSA-3928647;R-HSA-198270"
R-HSA-5683057,"MAPK family signaling cascades",32,325,0.027292576419213975,1.1102230246251565E-16,5.773159728050814E-15,70,122,0.008153990108274296,9606,Homo sapiens,"P52333;Q13237;Q8IW41;P29597;P28482;P07949;Q13557;P12931;Q05397;P15056;Q04759;P08581;P06241;P27448;P04049;P04626;P27361;P09619;Q02750;P53778;Q9UQM7;P17612;P11362;O60674;P22607;P06493;P00533;Q13177;Q13153;Q16584","P52333;Q13237;Q8IW41;P29597;P28482;P07949;Q13557;P12931;Q05397;P15056;P11362-19;Q04759;P08581;P11362-1;P06241;P27448;P04049;P22607-2;P22607-1;P04626;P27361;P09619;Q02750;P53778;Q9UQM7;P17612;O60674;P06493;P00533;Q13177;Q13153;Q16584","R-HSA-5692755;R-HSA-5687123;R-HSA-5687120;R-HSA-5687121;R-HSA-9635739;R-HSA-9635743;R-HSA-5675206;R-HSA-9657603;R-HSA-8868118;R-HSA-9657606;R-HSA-389788;R-HSA-9657608;R-HSA-5687115;R-HSA-109857;R-HSA-5672950;R-HSA-5672951;R-HSA-5672948;R-HSA-109858;R-HSA-109860;R-HSA-5675376;R-HSA-109863;R-HSA-109862;R-HSA-5674366;R-HSA-5672958;R-HSA-109864;R-HSA-5627775;R-HSA-5672957;R-HSA-5672954;R-HSA-5692775;R-HSA-5692770;R-HSA-5692768;R-HSA-5675373;R-HSA-5692781;R-HSA-5692779;R-HSA-8867654;R-HSA-5672980;R-HSA-5674132;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-5674385;R-HSA-5674140;R-HSA-8867658;R-HSA-5675417;R-HSA-5672966;R-HSA-5674373;R-HSA-5672965;R-HSA-5690245;R-HSA-5674496;R-HSA-5672960;R-HSA-112342;R-HSA-5672961;R-HSA-5672972;R-HSA-5672973;R-HSA-5690250;R-HSA-9658445;R-HSA-5672969;R-HSA-5687094;R-HSA-5687091;R-HSA-5687088;R-HSA-9653108;R-HSA-5675198;R-HSA-5687101;R-HSA-5675194;R-HSA-9657599;R-HSA-9653503;R-HSA-5675431;R-HSA-5674019;R-HSA-5687086;R-HSA-5675433"
R-HSA-9006934,"Signaling by Receptor Tyrosine Kinases",55,554,0.04652334564998321,1.1102230246251565E-16,5.773159728050814E-15,391,759,0.050728512230985165,9606,Homo sapiens,"P07947;Q15418;P28482;P07948;P12931;O75582;P42345;P15056;P49137;Q13882;P05771;Q13164;P27361;P09619;P53778;Q05513;Q9BUB5;P16591;P00533;Q13177;O14757;P52333;P06239;Q15759;O15264;P31751;Q05397;P08581;Q00535;P17252;P06241;P08069;Q13464;Q16539;P04626;P31749;O75116;P51812;Q02750;Q02156;P30530;P17612;P11362;O60674;Q05655;P22607;O00141;Q14289;Q13153;P06213;Q9UM73","P07947;Q15418;P28482;P07948;P12931;O75582;P42345;P15056;P12931-1;P49137;Q13882;P05771;Q13164;P22607-2;P22607-1;P27361;P09619;P53778;Q05513;Q9BUB5;P16591;P00533;Q13177;O14757;P52333;P06239;Q15759;O15264;P31751;Q05397;P11362-19;P08581;Q00535;P17252;P11362-1;P06241;P08069;Q13464;Q16539;P04626;P31749;O75116;P51812;Q02750;Q02156;P30530;P17612;O60674;Q05655;O00141;P06241-1;Q14289;Q13153;P06213;Q9UM73","R-HSA-9032841;R-HSA-9701524;R-HSA-171011;R-HSA-1562641;R-HSA-5654623;R-HSA-198669;R-HSA-5654596;R-HSA-5654597;R-HSA-5654594;R-HSA-203797;R-HSA-9032863;R-HSA-5654592;R-HSA-9701507;R-HSA-5654600;R-HSA-9032854;R-HSA-5654646;R-HSA-2317314;R-HSA-5654647;R-HSA-5654643;R-HSA-5654640;R-HSA-5654641;R-HSA-2428930;R-HSA-8875183;R-HSA-9725117;R-HSA-9665726;R-HSA-5654631;R-HSA-5654628;R-HSA-5654625;R-HSA-1250346;R-HSA-198714;R-HSA-5654637;R-HSA-5654634;R-HSA-5654633;R-HSA-9612501;R-HSA-198731;R-HSA-8865994;R-HSA-198733;R-HSA-9612509;R-HSA-198746;R-HSA-8867047;R-HSA-5654582;R-HSA-382052;R-HSA-382055;R-HSA-8867044;R-HSA-5654578;R-HSA-8867041;R-HSA-198756;R-HSA-5654591;R-HSA-5654586;R-HSA-382056;R-HSA-5654587;R-HSA-5654584;R-HSA-382058;R-HSA-5654566;R-HSA-5654565;R-HSA-5654562;R-HSA-5654560;R-HSA-9037040;R-HSA-5654575;R-HSA-5654573;R-HSA-5654571;R-HSA-5654569;R-HSA-109699;R-HSA-109700;R-HSA-109702;R-HSA-1250463;R-HSA-1250462;R-HSA-1918092;R-HSA-1918095;R-HSA-5654730;R-HSA-1250486;R-HSA-8934446;R-HSA-9652277;R-HSA-1250488;R-HSA-9032761;R-HSA-8941628;R-HSA-8863804;R-HSA-9652264;R-HSA-8941623;R-HSA-5654679;R-HSA-5654672;R-HSA-5654673;R-HSA-1250498;R-HSA-199895;R-HSA-9032798;R-HSA-8874079;R-HSA-8874078;R-HSA-5654709;R-HSA-8874083;R-HSA-9701488;R-HSA-8874082;R-HSA-199910;R-HSA-8874080;R-HSA-1295604;R-HSA-5654705;R-HSA-1295609;R-HSA-199917;R-HSA-5654692;R-HSA-5654690;R-HSA-9701485;R-HSA-199929;R-HSA-199935;R-HSA-109823;R-HSA-109822;R-HSA-1295634;R-HSA-8851842;R-HSA-199959;R-HSA-8851859;R-HSA-9725315;R-HSA-5218645;R-HSA-5218643;R-HSA-5218642;R-HSA-8851866;R-HSA-5218640;R-HSA-8875431;R-HSA-8851877;R-HSA-187688;R-HSA-187698;R-HSA-8875443;R-HSA-8851890;R-HSA-8851888;R-HSA-8851900;R-HSA-8875451;R-HSA-8851899;R-HSA-1306963;R-HSA-8851908;R-HSA-1306965;R-HSA-8851919;R-HSA-1306969;R-HSA-1306972;R-HSA-1306953;R-HSA-8851933;R-HSA-8875482;R-HSA-1306957;R-HSA-8875490;R-HSA-1306979;R-HSA-8851954;R-HSA-202111;R-HSA-6807008;R-HSA-202127;R-HSA-5228992;R-HSA-186765;R-HSA-6807027;R-HSA-205205;R-HSA-186773;R-HSA-186778;R-HSA-202137;R-HSA-8864029;R-HSA-186780;R-HSA-186786;R-HSA-9700662;R-HSA-8864036;R-HSA-186798;R-HSA-4420083;R-HSA-205234;R-HSA-5218814;R-HSA-5218813;R-HSA-186800;R-HSA-9700647;R-HSA-5218812;R-HSA-5218811;R-HSA-205238;R-HSA-5218809;R-HSA-5218806;R-HSA-5218805;R-HSA-110011;R-HSA-5218804;R-HSA-9700648;R-HSA-205244;R-HSA-186819;R-HSA-1524182;R-HSA-5674385;R-HSA-186826;R-HSA-9603419;R-HSA-6806957;R-HSA-1524186;R-HSA-9603420;R-HSA-186834;R-HSA-9667914;R-HSA-6806974;R-HSA-8851804;R-HSA-9603445;R-HSA-8875374;R-HSA-205289;R-HSA-8864105;R-HSA-8851827;R-HSA-8864125;R-HSA-9674095;R-HSA-9603437;R-HSA-8848005;R-HSA-6785636;R-HSA-205319;R-HSA-8875661;R-HSA-8875659;R-HSA-205328;R-HSA-6785648;R-HSA-1963581;R-HSA-1963582;R-HSA-9612980;R-HSA-1963578;R-HSA-1470012;R-HSA-5218916;R-HSA-1470010;R-HSA-4420206;R-HSA-1470009;R-HSA-1963563;R-HSA-162363;R-HSA-8874685;R-HSA-5218830;R-HSA-1251922;R-HSA-5218828;R-HSA-5218826;R-HSA-5218824;R-HSA-5218823;R-HSA-5218822;R-HSA-5218821;R-HSA-8951490;R-HSA-5218820;R-HSA-5218819;R-HSA-5218847;R-HSA-191062;R-HSA-5656064;R-HSA-5218839;R-HSA-1963589;R-HSA-5218838;R-HSA-4420121;R-HSA-5218836;R-HSA-1963586;R-HSA-5218832;R-HSA-4420128;R-HSA-5218855;R-HSA-5218854;R-HSA-5218851;R-HSA-1472121;R-HSA-4420140;R-HSA-1977959;R-HSA-1251944;R-HSA-3928647;R-HSA-198270;R-HSA-8875523;R-HSA-5654224;R-HSA-8875531;R-HSA-934559;R-HSA-8875540;R-HSA-5654222;R-HSA-9851407;R-HSA-8875558;R-HSA-1497784;R-HSA-8852019;R-HSA-8875568;R-HSA-182969;R-HSA-1252013;R-HSA-8875576;R-HSA-8875591;R-HSA-5654167;R-HSA-5654165;R-HSA-182986;R-HSA-182990;R-HSA-182994;R-HSA-5654148;R-HSA-182993;R-HSA-5654149;R-HSA-183002;R-HSA-212706;R-HSA-212710;R-HSA-212713;R-HSA-8847995;R-HSA-183036;R-HSA-177922;R-HSA-177923;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-177925;R-HSA-177930;R-HSA-183051;R-HSA-177934;R-HSA-177935;R-HSA-183055;R-HSA-201486;R-HSA-9032582;R-HSA-177933;R-HSA-9032601;R-HSA-177938;R-HSA-183058;R-HSA-177939;R-HSA-177936;R-HSA-177937;R-HSA-177942;R-HSA-177943;R-HSA-177941;R-HSA-183067;R-HSA-177944;R-HSA-177945;R-HSA-9610163;R-HSA-183072;R-HSA-9734070;R-HSA-9610166;R-HSA-5357429;R-HSA-201510;R-HSA-190245;R-HSA-201515;R-HSA-9612219;R-HSA-5357432;R-HSA-201519;R-HSA-183084;R-HSA-5654392;R-HSA-201521;R-HSA-190256;R-HSA-183089;R-HSA-190263;R-HSA-190261;R-HSA-9610154;R-HSA-9610152;R-HSA-9610153;R-HSA-9610156;R-HSA-190268;R-HSA-1433428;R-HSA-2404199;R-HSA-2404193;R-HSA-2404195;R-HSA-2404200;R-HSA-1433418;R-HSA-9616368;R-HSA-1433456;R-HSA-380780;R-HSA-380782;R-HSA-5686072;R-HSA-9842656;R-HSA-1433454;R-HSA-1433451;R-HSA-1250195;R-HSA-1433488;R-HSA-1250189;R-HSA-9735946;R-HSA-9700149;R-HSA-5654514;R-HSA-9700156;R-HSA-9700154;R-HSA-8875817;R-HSA-169901;R-HSA-8875816;R-HSA-9674531;R-HSA-1433508;R-HSA-190385;R-HSA-190388;R-HSA-1433506;R-HSA-9700142;R-HSA-9700137;R-HSA-1433514;R-HSA-9032502;R-HSA-5654416;R-HSA-6800298;R-HSA-9700164;R-HSA-74707;R-HSA-1358791;R-HSA-1433542;R-HSA-5357445;R-HSA-74711;R-HSA-170965;R-HSA-74712;R-HSA-190427;R-HSA-1358798;R-HSA-74715;R-HSA-9700175;R-HSA-389086;R-HSA-5654413;R-HSA-2428926;R-HSA-1358792;R-HSA-9700168;R-HSA-9032532;R-HSA-74716;R-HSA-5654408;R-HSA-9700171;R-HSA-5654409;R-HSA-74718;R-HSA-2428922;R-HSA-190429;R-HSA-74726;R-HSA-74733;R-HSA-170991;R-HSA-74734;R-HSA-5357472;R-HSA-198640;R-HSA-5357477;R-HSA-74740;R-HSA-5357479;R-HSA-74743;R-HSA-74742;R-HSA-5357483;R-HSA-9700200"
